CLASS	METHOD	PARAMETER	INDEX
org.mockito.internal.invocation.InvocationsFinder	findFirstMatchingUnverifiedInvocation(java.util.List,org.mockito.invocation.MatchableInvocation,org.mockito.internal.verification.api.InOrderContext)	wanted	1
org.mockito.internal.invocation.InvocationsFinder	findSimilarInvocation(java.util.List,org.mockito.invocation.MatchableInvocation)	wanted	1
org.mockito.internal.invocation.InvocationsFinder	findSimilarInvocation(java.util.List,org.mockito.invocation.MatchableInvocation)	invocations	0
org.mockito.internal.invocation.InvocationsFinder	findFirstUnverified(java.util.List,java.lang.Object)	invocations	0
org.mockito.internal.invocation.InvocationsFinder	findFirstUnverified(java.util.List,java.lang.Object)	mock	1
org.mockito.internal.invocation.InvocationsFinder	getLastLocation(java.util.List)	invocations	0
org.mockito.internal.invocation.InvocationsFinder	removeVerifiedInOrder(java.util.List,org.mockito.internal.verification.api.InOrderContext)	orderingContext	1
org.mockito.internal.invocation.InvocationsFinder	removeVerifiedInOrder(java.util.List,org.mockito.internal.verification.api.InOrderContext)	invocations	0
org.mockito.internal.invocation.InvocationsFinder	getAllLocations(java.util.List)	invocations	0
org.mockito.internal.invocation.InvocationsFinder$RemoveNotMatching	RemoveNotMatching(org.mockito.invocation.MatchableInvocation)	wanted	0
org.mockito.internal.invocation.InvocationsFinder$RemoveUnverifiedInOrder	RemoveUnverifiedInOrder(org.mockito.internal.verification.api.InOrderContext)	orderingContext	0
org.mockito.internal.invocation.InvocationsFinder	findFirstUnverifiedInOrder(org.mockito.internal.verification.api.InOrderContext,java.util.List)	orderedInvocations	1
org.mockito.internal.invocation.InvocationsFinder	findFirstUnverifiedInOrder(org.mockito.internal.verification.api.InOrderContext,java.util.List)	context	0
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool	getSuspiciouslyNotMatchingArgsIndexes(java.util.List,java.lang.Object[])	arguments	1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool	getSuspiciouslyNotMatchingArgsIndexes(java.util.List,java.lang.Object[])	matchers	0
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool	safelyMatches(org.mockito.ArgumentMatcher,java.lang.Object)	m	0
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool	toStringEquals(org.mockito.ArgumentMatcher,java.lang.Object)	arg	1
org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool	toStringEquals(org.mockito.ArgumentMatcher,java.lang.Object)	m	0
org.mockito.internal.verification.checkers.MissingInvocationChecker	checkMissingInvocation(java.util.List,org.mockito.invocation.MatchableInvocation)	wanted	1
org.mockito.internal.verification.checkers.MissingInvocationChecker	checkMissingInvocation(java.util.List,org.mockito.invocation.MatchableInvocation)	invocations	0
org.mockito.internal.verification.checkers.MissingInvocationChecker$1	convert(org.mockito.invocation.Invocation)	invocation	0
org.mockito.internal.invocation.InvocationMarker	markVerified(java.util.List,org.mockito.invocation.MatchableInvocation)	invocations	0
org.mockito.internal.invocation.InvocationMarker	markVerified(org.mockito.invocation.Invocation,org.mockito.invocation.MatchableInvocation)	wanted	1
org.mockito.internal.invocation.InvocationMarker	markVerified(org.mockito.invocation.Invocation,org.mockito.invocation.MatchableInvocation)	invocation	0
org.mockito.internal.invocation.InvocationMarker	markVerifiedInOrder(java.util.List,org.mockito.invocation.MatchableInvocation,org.mockito.internal.verification.api.InOrderContext)	chunk	0
org.mockito.internal.invocation.InvocationMarker	markVerifiedInOrder(java.util.List,org.mockito.invocation.MatchableInvocation,org.mockito.internal.verification.api.InOrderContext)	context	2
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker	checkNumberOfInvocations(java.util.List,org.mockito.invocation.MatchableInvocation,int)	wantedCount	2
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker	checkNumberOfInvocations(java.util.List,org.mockito.invocation.MatchableInvocation,int,org.mockito.internal.verification.api.InOrderContext)	wantedCount	2
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker	checkNumberOfInvocationsNonGreedy(java.util.List,org.mockito.invocation.MatchableInvocation,int,org.mockito.internal.verification.api.InOrderContext)	wantedCount	2
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker	checkNumberOfInvocationsNonGreedy(java.util.List,org.mockito.invocation.MatchableInvocation,int,org.mockito.internal.verification.api.InOrderContext)	context	3
org.mockito.internal.verification.Times	Times(int)	wantedNumberOfInvocations	0
org.mockito.internal.verification.Times	verify(org.mockito.internal.verification.api.VerificationData)	data	0
org.mockito.internal.verification.Times	verifyInOrder(org.mockito.internal.verification.api.VerificationDataInOrder)	data	0
org.mockito.internal.verification.Calls	Calls(int)	wantedNumberOfInvocations	0
org.mockito.internal.verification.Calls	verifyInOrder(org.mockito.internal.verification.api.VerificationDataInOrder)	data	0
org.mockito.internal.verification.NoMoreInteractions	verifyInOrder(org.mockito.internal.verification.api.VerificationDataInOrder)	data	0
org.mockito.internal.verification.NoInteractions	verify(org.mockito.internal.verification.api.VerificationData)	data	0
org.mockito.internal.verification.VerificationWrapper	VerificationWrapper(WrapperType)	wrappedVerification	0
org.mockito.internal.verification.VerificationOverTimeImpl	VerificationOverTimeImpl(long,org.mockito.verification.VerificationMode,boolean,org.mockito.internal.util.Timer)	returnOnSuccess	2
org.mockito.internal.verification.VerificationOverTimeImpl	VerificationOverTimeImpl(long,org.mockito.verification.VerificationMode,boolean,org.mockito.internal.util.Timer)	delegate	1
org.mockito.internal.verification.VerificationOverTimeImpl	VerificationOverTimeImpl(long,org.mockito.verification.VerificationMode,boolean,org.mockito.internal.util.Timer)	timer	3
org.mockito.internal.verification.VerificationOverTimeImpl	VerificationOverTimeImpl(long,org.mockito.verification.VerificationMode,boolean,org.mockito.internal.util.Timer)	pollingPeriodMillis	0
org.mockito.internal.verification.VerificationOverTimeImpl	handleVerifyException(java.lang.AssertionError)	e	0
org.mockito.internal.verification.VerificationOverTimeImpl	canRecoverFromFailure(org.mockito.verification.VerificationMode)	verificationMode	0
org.mockito.internal.verification.VerificationOverTimeImpl	copyWithVerificationMode(org.mockito.verification.VerificationMode)	verificationMode	0
org.mockito.internal.verification.VerificationOverTimeImpl	sleep(long)	sleep	0
org.mockito.internal.util.Timer	Timer(long)	durationMillis	0
org.mockito.internal.util.Timer	validateInput(long)	durationMillis	0
org.mockito.internal.util.reflection.GenericTypeExtractor	genericTypeOf(java.lang.Class,java.lang.Class,java.lang.Class)	targetBaseClass	1
org.mockito.internal.util.reflection.GenericTypeExtractor	genericTypeOf(java.lang.Class,java.lang.Class,java.lang.Class)	rootClass	0
org.mockito.internal.util.reflection.GenericTypeExtractor	findGenericInterface(java.lang.Class,java.lang.Class)	targetBaseInterface	1
org.mockito.internal.util.reflection.GenericTypeExtractor	findGenericInterface(java.lang.Class,java.lang.Class)	sourceClass	0
org.mockito.internal.util.reflection.GenericTypeExtractor	extractGeneric(java.lang.reflect.Type)	type	0
org.mockito.runners.ConsoleSpammingMockitoJUnitRunner	ConsoleSpammingMockitoJUnitRunner(org.mockito.plugins.MockitoLogger,org.mockito.internal.runners.InternalRunner)	logger	0
