REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.mockito.internal.matchers.CapturingMatcher	getAllValues()	readLock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	captureFrom(java.lang.Object)	writeLock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	captureFrom(java.lang.Object)	arguments	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	captureFrom(java.lang.Object)	this	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.internal.matchers.CapturingMatcher	captureFrom(java.lang.Object)	writeLock	org.mockito.internal.matchers.CapturingMatcher	SOURCE
org.mockito.exceptions.base.MockitoException	filterStackTrace()	unfilteredStackTrace	org.mockito.exceptions.base.MockitoException	SOURCE
org.mockito.exceptions.base.MockitoException	filterStackTrace()	this	org.mockito.exceptions.base.MockitoException	SOURCE
org.mockito.exceptions.base.MockitoException	getUnfilteredStackTrace()	unfilteredStackTrace	org.mockito.exceptions.base.MockitoException	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.String)	unfilteredStackTrace	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.String)	this	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(org.mockito.exceptions.base.MockitoAssertionError,java.lang.String)	super	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(org.mockito.exceptions.base.MockitoAssertionError,java.lang.String)	unfilteredStackTrace	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.AssertionError,java.lang.String)	unfilteredStackTrace	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.AssertionError,java.lang.String)	super	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.AssertionError,java.lang.String)	unfilteredStackTrace	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.exceptions.base.MockitoAssertionError	getUnfilteredStackTrace()	unfilteredStackTrace	org.mockito.exceptions.base.MockitoAssertionError	SOURCE
org.mockito.internal.reporting.Discrepancy	Discrepancy(int,int)	wantedCount	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	Discrepancy(int,int)	this	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	Discrepancy(int,int)	actualCount	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	Discrepancy(int,int)	this	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	getWantedCount()	wantedCount	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	getPluralizedWantedCount()	wantedCount	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	getActualCount()	actualCount	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.internal.reporting.Discrepancy	getPluralizedActualCount()	actualCount	org.mockito.internal.reporting.Discrepancy	SOURCE
org.mockito.ArgumentMatchers	anyObject()	ANY	org.mockito.internal.matchers.Any	SOURCE
org.mockito.ArgumentMatchers	anyBoolean()	class	java.lang.Boolean	SOURCE
org.mockito.ArgumentMatchers	anyByte()	class	java.lang.Byte	SOURCE
org.mockito.ArgumentMatchers	anyChar()	class	java.lang.Character	SOURCE
org.mockito.ArgumentMatchers	anyInt()	class	java.lang.Integer	SOURCE
org.mockito.ArgumentMatchers	anyLong()	class	java.lang.Long	SOURCE
org.mockito.ArgumentMatchers	anyFloat()	class	java.lang.Float	SOURCE
org.mockito.ArgumentMatchers	anyDouble()	class	java.lang.Double	SOURCE
org.mockito.ArgumentMatchers	anyShort()	class	java.lang.Short	SOURCE
org.mockito.ArgumentMatchers	anyString()	class	java.lang.String	SOURCE
org.mockito.ArgumentMatchers	anyList()	class	java.util.List	SOURCE
org.mockito.ArgumentMatchers	anySet()	class	java.util.Set	SOURCE
org.mockito.ArgumentMatchers	anyMap()	class	java.util.Map	SOURCE
org.mockito.ArgumentMatchers	anyCollection()	class	java.util.Collection	SOURCE
org.mockito.ArgumentMatchers	anyIterable()	class	java.lang.Iterable	SOURCE
org.mockito.ArgumentMatchers	isNull()	NULL	org.mockito.internal.matchers.Null	SOURCE
org.mockito.ArgumentMatchers	notNull()	NOT_NULL	org.mockito.internal.matchers.NotNull	SOURCE
org.mockito.junit.MockitoJUnitRunner	MockitoJUnitRunner(org.mockito.internal.runners.InternalRunner)	runner	org.mockito.junit.MockitoJUnitRunner	SOURCE
org.mockito.junit.MockitoJUnitRunner	MockitoJUnitRunner(org.mockito.internal.runners.InternalRunner)	this	org.mockito.junit.MockitoJUnitRunner	SOURCE
org.mockito.junit.MockitoJUnitRunner	run(org.junit.runner.notification.RunNotifier)	runner	org.mockito.junit.MockitoJUnitRunner	SOURCE
org.mockito.junit.MockitoJUnitRunner	getDescription()	runner	org.mockito.junit.MockitoJUnitRunner	SOURCE
org.mockito.junit.MockitoJUnitRunner	filter(org.junit.runner.manipulation.Filter)	runner	org.mockito.junit.MockitoJUnitRunner	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	BDDOngoingStubbingImpl(org.mockito.stubbing.OngoingStubbing)	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	BDDOngoingStubbingImpl(org.mockito.stubbing.OngoingStubbing)	this	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willAnswer(org.mockito.stubbing.Answer)	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	will(org.mockito.stubbing.Answer)	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willReturn(T)	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willReturn(T,T[])	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willThrow(java.lang.Throwable[])	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willThrow(java.lang.Class)	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willThrow(java.lang.Class,java.lang.Class[])	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	willCallRealMethod()	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$BDDOngoingStubbingImpl	getMock()	mockitoOngoingStubbing	org.mockito.BDDMockito$BDDOngoingStubbingImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	ThenImpl(T)	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	ThenImpl(T)	this	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	should()	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	should(org.mockito.verification.VerificationMode)	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	should(org.mockito.InOrder)	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	should(org.mockito.InOrder,org.mockito.verification.VerificationMode)	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	shouldHaveZeroInteractions()	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	shouldHaveNoMoreInteractions()	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$ThenImpl	shouldHaveNoInteractions()	mock	org.mockito.BDDMockito$ThenImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	BDDStubberImpl(org.mockito.stubbing.Stubber)	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	BDDStubberImpl(org.mockito.stubbing.Stubber)	this	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	given(T)	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	willAnswer(org.mockito.stubbing.Answer)	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	will(org.mockito.stubbing.Answer)	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	willDoNothing()	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	willReturn(java.lang.Object)	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	willReturn(java.lang.Object,java.lang.Object[])	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
org.mockito.BDDMockito$BDDStubberImpl	willThrow(java.lang.Throwable[])	mockitoStubber	org.mockito.BDDMockito$BDDStubberImpl	SOURCE
