id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
68	org.mockito.invocation.MatchableInvocation	getMatchers()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
69	org.mockito.invocation.MatchableInvocation	matches(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
70	org.mockito.invocation.MatchableInvocation	hasSimilarMethod(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
71	org.mockito.invocation.MatchableInvocation	hasSameMethod(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
72	org.mockito.invocation.MatchableInvocation	captureArgumentsFrom(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
73	org.mockito.internal.util.reflection.GenericTypeExtractor	genericTypeOf(java.lang.Class<?>,java.lang.Class<?>,java.lang.Class<?>)	0	3	[false, false, false]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/GenericTypeExtractor.java
74	org.mockito.internal.util.reflection.GenericTypeExtractor	findGenericInterface(java.lang.Class<?>,java.lang.Class<?>)	0	2	[false, false]	true	private	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/GenericTypeExtractor.java
75	org.mockito.internal.util.reflection.GenericTypeExtractor	extractGeneric(java.lang.reflect.Type)	0	1	[false]	false	private	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/GenericTypeExtractor.java
76	org.mockito.internal.hamcrest.MatcherGenericTypeExtractor	genericTypeOfMatcher(java.lang.Class<?>)	0	1	[false]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/hamcrest/MatcherGenericTypeExtractor.java
77	org.mockito.internal.progress.ThreadSafeMockingProgress$1	initialValue()	78	0	[]	false	protected	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/progress/ThreadSafeMockingProgress.java
79	org.mockito.internal.progress.ThreadSafeMockingProgress	ThreadSafeMockingProgress()	0	0	[]	false	private	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/progress/ThreadSafeMockingProgress.java
80	org.mockito.internal.progress.ThreadSafeMockingProgress	mockingProgress()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/progress/ThreadSafeMockingProgress.java
81	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)	0	1	[false]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java
82	org.mockito.internal.util.Primitives	isPrimitiveOrWrapper(java.lang.Class<?>)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java
