kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
PARAMETER	org.mockito.internal.verification.VerificationDataImpl	VerificationDataImpl(org.mockito.internal.stubbing.InvocationContainerImpl,org.mockito.internal.invocation.InvocationMatcher)	wanted	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/verification/VerificationDataImpl.java	PASS_NULLABLE	nullable	org.mockito.internal.MockitoCore	verifyNoMoreInteractions(java.lang.Object...)
PARAMETER	org.mockito.internal.verification.VerificationDataImpl	VerificationDataImpl(org.mockito.internal.stubbing.InvocationContainerImpl,org.mockito.internal.invocation.InvocationMatcher)	wanted	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/verification/VerificationDataImpl.java	PASS_NULLABLE	nullable	org.mockito.internal.MockitoCore	verifyNoInteractions(java.lang.Object...)
PARAMETER	org.mockito.internal.verification.api.VerificationDataInOrderImpl	VerificationDataInOrderImpl(org.mockito.internal.verification.api.InOrderContext,java.util.List<org.mockito.invocation.Invocation>,org.mockito.invocation.MatchableInvocation)	wanted	2	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/verification/api/VerificationDataInOrderImpl.java	PASS_NULLABLE	nullable	org.mockito.internal.MockitoCore	verifyNoMoreInteractionsInOrder(java.util.List<java.lang.Object>,org.mockito.internal.verification.api.InOrderContext)
PARAMETER	org.mockito.internal.MockitoCore	stubber(org.mockito.quality.Strictness)	strictness	0	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/MockitoCore.java	PASS_NULLABLE	nullable	org.mockito.internal.MockitoCore	stubber()
PARAMETER	org.mockito.internal.util.Checks	<T>checkNotNull(T,java.lang.String,java.lang.String)	additionalMessage	2	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/util/Checks.java	PASS_NULLABLE	nullable	org.mockito.internal.util.Checks	<T>checkNotNull(T,java.lang.String)
FIELD	org.mockito.internal.configuration.injection.MockInjectionStrategy	null	nextStrategy	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/injection/MockInjectionStrategy.java	FIELD_NO_INIT	nullable	org.mockito.internal.configuration.injection.MockInjectionStrategy	null
METHOD	org.mockito.internal.configuration.injection.ConstructorInjection$SimpleArgumentResolver	objectThatIsAssignableFrom(java.lang.Class<?>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/injection/ConstructorInjection.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.injection.ConstructorInjection$SimpleArgumentResolver	objectThatIsAssignableFrom(java.lang.Class<?>)
METHOD	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()
METHOD	org.mockito.internal.configuration.injection.filter.OngoingInjector$1	thenInject()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/injection/filter/OngoingInjector.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.injection.filter.OngoingInjector$1	thenInject()
PARAMETER	org.mockito.internal.exceptions.Reporter	cannotInitializeForInjectMocksAnnotation(java.lang.String,java.lang.String)	causeMessage	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java	PASS_NULLABLE	nullable	org.mockito.internal.configuration.injection.PropertyAndSetterInjection	initializeInjectMocksField(java.lang.reflect.Field,java.lang.Object)
METHOD	org.mockito.internal.configuration.injection.scanner.MockScanner	preparedMock(java.lang.Object,java.lang.reflect.Field)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/injection/scanner/MockScanner.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.injection.scanner.MockScanner	preparedMock(java.lang.Object,java.lang.reflect.Field)
METHOD	org.mockito.internal.configuration.ClassPathLoader	loadConfiguration()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/ClassPathLoader.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.ClassPathLoader	loadConfiguration()
METHOD	org.mockito.internal.configuration.IndependentAnnotationEngine$1	process(A,java.lang.reflect.Field)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/configuration/IndependentAnnotationEngine.java	RETURN_NULLABLE	nullable	org.mockito.internal.configuration.IndependentAnnotationEngine$1	process(A,java.lang.reflect.Field)
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	ongoingStubbing	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	METHOD_NO_INIT	nullable	org.mockito.internal.progress.MockingProgressImpl	null
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	verificationMode	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	METHOD_NO_INIT	nullable	org.mockito.internal.progress.MockingProgressImpl	null
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	stubbingInProgress	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	stubbingInProgress
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	ongoingStubbing	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	pullOngoingStubbing()
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	ongoingStubbing	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	resetOngoingStubbing()
METHOD	org.mockito.internal.progress.MockingProgressImpl	pullVerificationMode()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	RETURN_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	pullVerificationMode()
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	verificationMode	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	pullVerificationMode()
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	stubbingInProgress	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	validateState()
FIELD	org.mockito.internal.progress.MockingProgressImpl	null	verificationMode	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.progress.MockingProgressImpl	validateMostStuff()
