id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
86	org.mockito.invocation.Invocation	getArgumentsAsMatchers()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
87	org.mockito.invocation.Invocation	getRawReturnType()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
88	org.mockito.invocation.Invocation	markVerified()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
89	org.mockito.invocation.Invocation	stubInfo()	0	0	[]	true	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
90	org.mockito.invocation.Invocation	markStubbed(org.mockito.invocation.StubInfo)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
91	org.mockito.invocation.Invocation	isIgnoredForVerification()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
92	org.mockito.invocation.Invocation	ignoreForVerification()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
93	org.mockito.invocation.InvocationOnMock	getMock()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
94	org.mockito.invocation.InvocationOnMock	getMethod()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
95	org.mockito.invocation.InvocationOnMock	getArguments()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
96	org.mockito.invocation.InvocationOnMock	<T>getArgument(int)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
97	org.mockito.invocation.InvocationOnMock	<T>getArgument(int,java.lang.Class<T>)	0	2	[false, false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
98	org.mockito.invocation.InvocationOnMock	callRealMethod()	0	0	[]	true	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
99	org.mockito.stubbing.Stubbing	getInvocation()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/stubbing/Stubbing.java
100	org.mockito.stubbing.Stubbing	wasUsed()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/stubbing/Stubbing.java
101	org.mockito.stubbing.Stubbing	getStrictness()	0	0	[]	true	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/stubbing/Stubbing.java
102	org.mockito.ArgumentMatcher	matches(T)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/ArgumentMatcher.java
103	org.mockito.invocation.StubInfo	stubbedAt()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/StubInfo.java
104	org.mockito.verification.VerificationEvent	getMock()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationEvent.java
105	org.mockito.verification.VerificationEvent	getMode()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationEvent.java
106	org.mockito.verification.VerificationEvent	getData()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationEvent.java
107	org.mockito.verification.VerificationEvent	getVerificationError()	0	0	[]	true	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationEvent.java
108	org.mockito.verification.VerificationMode	verify(org.mockito.internal.verification.api.VerificationData)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationMode.java
109	org.mockito.verification.VerificationMode	description(java.lang.String)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationMode.java
110	org.mockito.internal.verification.api.VerificationData	getAllInvocations()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/verification/api/VerificationData.java
111	org.mockito.internal.verification.api.VerificationData	getTarget()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/verification/api/VerificationData.java
112	org.mockito.internal.verification.api.VerificationData	getWanted()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/verification/api/VerificationData.java
113	org.mockito.invocation.MatchableInvocation	getInvocation()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
114	org.mockito.invocation.MatchableInvocation	getMatchers()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
115	org.mockito.invocation.MatchableInvocation	matches(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
116	org.mockito.invocation.MatchableInvocation	hasSimilarMethod(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
117	org.mockito.invocation.MatchableInvocation	hasSameMethod(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
118	org.mockito.invocation.MatchableInvocation	captureArgumentsFrom(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/invocation/MatchableInvocation.java
119	org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List<org.mockito.ArgumentMatcher<?>>,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	0	3	[false, false, false]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
120	org.mockito.internal.invocation.MatcherApplicationStrategy	getMatcherApplicationStrategyFor(org.mockito.invocation.Invocation,java.util.List<org.mockito.ArgumentMatcher<?>>)	0	2	[false, false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
121	org.mockito.internal.invocation.MatcherApplicationStrategy	forEachMatcherAndArgument(org.mockito.internal.invocation.ArgumentMatcherAction)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
122	org.mockito.internal.invocation.MatcherApplicationStrategy	getMatcherApplicationType(org.mockito.invocation.Invocation,java.util.List<org.mockito.ArgumentMatcher<?>>)	0	2	[false, false]	false	private	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
123	org.mockito.internal.invocation.MatcherApplicationStrategy	isLastMatcherVarargMatcher(java.util.List<org.mockito.ArgumentMatcher<?>>)	0	1	[false]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
124	org.mockito.internal.invocation.MatcherApplicationStrategy	appendLastMatcherNTimes(java.util.List<org.mockito.ArgumentMatcher<?>>,int)	0	2	[false, false]	false	private	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
125	org.mockito.internal.invocation.MatcherApplicationStrategy	varargLength(org.mockito.invocation.Invocation)	0	1	[false]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
126	org.mockito.internal.invocation.MatcherApplicationStrategy	lastMatcher(java.util.List<org.mockito.ArgumentMatcher<?>>)	0	1	[false]	false	private	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java
127	org.mockito.internal.invocation.TypeSafeMatching	TypeSafeMatching()	0	0	[]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/TypeSafeMatching.java
128	org.mockito.internal.invocation.TypeSafeMatching	matchesTypeSafe()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/TypeSafeMatching.java
129	org.mockito.internal.invocation.TypeSafeMatching	apply(org.mockito.ArgumentMatcher,java.lang.Object)	130	2	[false, false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/TypeSafeMatching.java
131	org.mockito.internal.invocation.TypeSafeMatching	isCompatible(org.mockito.ArgumentMatcher<?>,java.lang.Object)	0	2	[false, false]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/TypeSafeMatching.java
132	org.mockito.internal.invocation.TypeSafeMatching	getArgumentType(org.mockito.ArgumentMatcher<?>)	0	1	[false]	false	private	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/TypeSafeMatching.java
133	org.mockito.internal.invocation.TypeSafeMatching	isMatchesMethod(java.lang.reflect.Method)	0	1	[false]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/TypeSafeMatching.java
134	org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation,java.util.List<org.mockito.ArgumentMatcher>)	0	2	[false, false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
135	org.mockito.internal.invocation.InvocationMatcher	InvocationMatcher(org.mockito.invocation.Invocation)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
136	org.mockito.internal.invocation.InvocationMatcher	createFrom(java.util.List<org.mockito.invocation.Invocation>)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
137	org.mockito.internal.invocation.InvocationMatcher	getMethod()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
138	org.mockito.internal.invocation.InvocationMatcher	getInvocation()	113	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
139	org.mockito.internal.invocation.InvocationMatcher	getMatchers()	114	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
140	org.mockito.internal.invocation.InvocationMatcher	toString()	74	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
141	org.mockito.internal.invocation.InvocationMatcher	matches(org.mockito.invocation.Invocation)	115	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
142	org.mockito.internal.invocation.InvocationMatcher	hasSimilarMethod(org.mockito.invocation.Invocation)	116	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
143	org.mockito.internal.invocation.InvocationMatcher	hasSameMethod(org.mockito.invocation.Invocation)	117	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
144	org.mockito.internal.invocation.InvocationMatcher	getLocation()	75	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
145	org.mockito.internal.invocation.InvocationMatcher	captureArgumentsFrom(org.mockito.invocation.Invocation)	118	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
146	org.mockito.internal.invocation.InvocationMatcher	captureArgument()	0	0	[]	false	private	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
147	org.mockito.internal.invocation.InvocationMatcher$1	apply(org.mockito.ArgumentMatcher<?>,java.lang.Object)	130	2	[false, false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
148	org.mockito.internal.invocation.InvocationMatcher	argumentsMatch(org.mockito.invocation.Invocation)	0	1	[false]	false	private	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationMatcher.java
130	org.mockito.internal.invocation.ArgumentMatcherAction	apply(org.mockito.ArgumentMatcher<?>,java.lang.Object)	0	2	[false, false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/invocation/ArgumentMatcherAction.java
149	org.mockito.verification.VerificationAfterDelay	times(int)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
150	org.mockito.verification.VerificationAfterDelay	never()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
151	org.mockito.verification.VerificationAfterDelay	atLeastOnce()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
152	org.mockito.verification.VerificationAfterDelay	atLeast(int)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
153	org.mockito.verification.VerificationAfterDelay	atMostOnce()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
154	org.mockito.verification.VerificationAfterDelay	atMost(int)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
155	org.mockito.verification.VerificationAfterDelay	only()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationAfterDelay.java
156	org.mockito.verification.VerificationStrategy	maybeVerifyLazily(org.mockito.verification.VerificationMode)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/verification/VerificationStrategy.java
157	org.mockito.internal.reporting.Pluralizer	pluralize(int)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/reporting/Pluralizer.java
